mm_radius_layer1   		|  145.00  | mm  |  center radii of barrel MM 					| Sebastien Procureur   | sebastien.procureur@cea.fr | link to pdf drawing | variable name on the drawing | David Kashy | 12/12/12
FMT_Gas1_Dz    			|    0.128 | mm  | Gas1 (amplification) width (in z)   				| Sebastien Procureur	| sebastien.procureur@¢ea.fr     | - | - | - | 07/06/12
FMT_Mesh_Dz    			|    0.030 | mm  | Mesh width (in z)   						| Sebastien Procureur	| sebastien.procureur@¢ea.fr     | - | - | - | 07/06/12
FMT_Gas2_Dz    			|    5.000 | mm  | Gas2 (drift) width (in z)   					| Sebastien Procureur	| sebastien.procureur@¢ea.fr     | - | - | - | 07/06/12
FMT_Drift_Dz    		|    0.100 | mm  | Drift electrode width (in z)   				| Sebastien Procureur	| sebastien.procureur@¢ea.fr     | - | - | - | 07/06/12
FTT_M_mothervol_InnerRadius 	|   64.000 | mm	 | Mother volume inner radius					| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_mothervol_OutRadius 	|  161.000 | mm  | Mother volume outer radius 					| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_nlayer		 	|    2	   | na  | Number of layers     					| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_zpos_layer1 		| 1763.000 | mm  | Positon of the first layer of MM center (in z) 		| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_zpos_layer2 		| 1783.000 | mm  | Positon of the second layer of MM center (in z) 		| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_InnerRadius 		|   65.000 | mm  | Inner Radius of the MM disk					| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_OuterRadius 		|  142.000 | mm  | Outer Radius of the MM disk					| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_Epoxy_Dz    		|  0.300   | mm  | Epoxy width (in z) 						| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_PCB_Dz      		|  0.100   | mm  | PCB width (in z) 						| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_Strips_Dz   		|  0.015   | mm  | Strips width (in z) 						| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_Gas1_Dz     		|  0.128   | mm  | Gas1 width (in z) 						| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_Mesh_Dz     		|  0.030   | mm  | Mesh width (in z) 						| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_Gas2_Dz     		|  5.350   | mm  | Gas2 width (in z) 						| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
FTT_M_Drift_Dz    		|  0.100   | mm  | Drift width (in z) 						| Gabriel Charles	| gabriel.charles@¢ea.fr     | - | - | - | 13/04/12
